#Brand;BrandDescription;TotalQuantitySales;TotalQuantityPurchase;Profit;MarginPercent
33211;Sycamore Lane Chard Cal;164;204;147.44;20
17469;Zacharias Ambelos Phos Red;74;96;103.74;16
18666;Rickshaw Chard Cal;2;24;-239.62;-88
6249;Rodney Strong Chard;8789;8999;40184.47;57
23966;Nortico Alvarinho;45;60;58.35;10
10266;Klinker Brick Old Vine Znfdl;10249;10488;63526.47;63
8674;Riunite Moscato;4424;4436;14834.84;64
19381;O Wines Chard;1148;1152;4273.88;56
21055;Sandeman Imperial 20-Yr Taw;2244;2348;32167.60;57
15366;Vina Borgia Garnacha;38;60;-28.98;-8
1988;Hardy V.S. Cognac;8;222;-4921.58;-95
25991;Vista Point Pnt Grigio/Col;72;84;60.60;32
21581;Epiphany Revelation;239;257;2243.98;45
12203;Cavit Prosecco Lunetta;8096;8258;24394.32;43
2177;Canadian Hunter Rye;10227;10943;2245.77;29
6798;Livingston Chablis Blush Ca;35;51;37.52;16
20628;Clos Amador Brut Cava;1;36;-264.65;-95
39228;Eponymous Cab Svgn Napa;212;264;1898.32;24
10632;Vendange Chard;3;24;-79.29;-78
6876;Sutter Home Clsc Chard;19115;19354;37663.47;49
27411;Talley Vyds Rincon Pnt Nr;3;24;-714.87;-81
24826;J Phelps Insignia 2012;116;207;-4400.47;-16
21381;Barkan Clsc Cab Svgn;652;664;3125.56;52
25785;The White Knight Prosecco;1;13;-133.29;-89
43668;L'Ecole No 41 Perigee Seven;9;84;-2387.61;-84
19934;Perrin Cotes du Rhone RSV Rg;6453;6464;21649.67;50
8985;J Roget Spumante;8415;8641;12039.81;31
14811;Primaterra Pnt Nr;1126;1151;2682.71;31
7143;Smirnoff Watermelon Vodka;5078;5814;-6038.28;-6
2926;Teachers Highland Cream;2331;2427;12856.20;24
8264;Ch Ste Michelle Rsl;28258;28983;103399.63;66
26517;Altocedro Finca Tanos Malbec;105;123;427.26;31
2989;The Macallan 18 Yr Old;502;588;17272.06;15
23785;Pink Pegau Rose;480;502;4058.14;73
22349;Callaway Svgn Bl Cellar Slct;5;24;-83.73;-72
1692;Everclear 151;6318;6382;34815.52;41
13082;Cakebread Chard Rsv;54;71;417.72;16
1376;Jim Beam;106639;108866;661966.25;37
39840;Kenwood Cve Brut Yulupa Spa;155;216;108.25;8
3679;Chopin Vodka;8444;8613;57721.19;46
14096;Citation Chard;70;100;382.30;18
10283;M D 20/20 Orange Jubilee;3211;3267;4415.70;53
40545;Whitehaven Svgn Bl Marlboro;21477;21850;104969.73;48
22763;Los Dos Moscato & Chard;15;60;-53.75;-25
27697;Volpaia Prelius Cab Svgn;3;168;-1623.27;-97
23045;El Enemigo 11 Cab Franc Mend;250;278;1707.76;38
22048;Maggy Hawk Afleet Pnt Nr;35;37;594.87;45
4270;Brugal Anejo Rum;4332;4426;19030.46;33
2844;Diplome Dry Gin;615;852;-4526.31;-20
24281;Col D'Orcia Brunello Montalc;43;72;-985.47;-19
3578;Stolichnaya Elit Vodka;826;990;7636.64;21
4058;Bacardi Oakheart Spiced Rum;15;22;-20.63;-8
24153;Grape Time Wh Cranbery Pnt G;587;618;2236.17;41
5696;Midori Melon Liqueur;2196;2805;630.09;3
6346;Amaretto Villa Vittoria Liq;348;828;-6061.20;-51
47090;Napa Cellars Cab Svgn Napa;2504;2553;20295.22;51
15892;Red Guitar Sangria;8309;8451;15086.04;53
33325;Jacobs Crk Merlot;4;24;-66.68;-72
5311;Amaretto DiSaronno;18376;18409;230874.94;53
1982;Herradura Silver Tequila;2491;3133;-5029.97;-10
33331;Moletto Prosecco Della Marc;7236;7340;-13692.56;-17
21333;Mas Carlot Marsanne Roussann;21;36;-45.45;-14
25352;Cecchi Chianti DOCG;1916;2288;-5585.08;-26
1828;Old Forester Mint Julep;145;320;-2707.45;-38
4989;Martell VS Cognac;2472;2759;10788.34;23
45874;Gallo Twin Vly Pnt Grigio;66;87;35.22;11
38105;Canyon Oaks Chard Cal;621;636;2325.99;45
22275;Markham Merlot;1698;1711;14181.79;56
1746;Tomatin 12 Yr Old Scotch;2030;2081;21104.51;51
8018;La Vieille Ferme Red Ventoux;19622;19854;50370.88;55
18300;Vendange Sweet Pink Moscato;28;36;24.36;14
1932;Jim Beam Devils Cut Bourbon;16411;17841;3774.81;30
17040;Sutter Home Pink Moscato;309;325;554.16;43
19549;Opici White Sangria;1608;1669;7114.38;49
17316;Damilano Lecinquevgne Barolo;851;871;11017.88;60
8312;Bols Curacao Orange;11889;12900;36110.75;49
19406;Dow's 10 Yr Old Tawny Port;218;269;1771.56;32
4678;Courvoisier VS Cognac;13930;14303;89575.12;37
21442;Chapoutier Cotes du Rhone R;521;554;1970.15;41
4007;Averna Amaro;1208;1418;4442.36;15
26458;Groppello CaMaiol Red;4;36;-333.12;-84
27171;Gagliole 13 Rubiolo Chianti;185;312;-436.41;-13
3574;Stoli Gluten Free Vodka;11474;15835;-124.47;-1
2720;Canadian Regal Apple;1204;1214;-65.32;-1
25301;Barrique Pnt Nr;10;24;-109.46;-39
18001;Ruca Malen Malbec Rsv;605;640;2886.75;41
23848;Dom Cherrier Sancerre;5382;5931;24858.55;39
43939;Provenance Svgn Bl Napa;36;132;-927.92;-57
6842;Delicious White P Vella B/B;34;48;58.94;13
26361;Prophecy Red Blend;2322;2503;-2739.08;-17
12258;Rex Goliath Cab Svgn Free Ra;27;36;43.65;16
23438;Frost Bitten Ice Rsl;1472;1620;5514.28;40
13303;Plungerhead Znfdl Lodi;4977;5311;22513.67;47
6375;Christian Bros Dry Sherry;1751;1761;2991.63;45
23215;Carmel Road The Barrymore PG;51;61;160.51;24
5317;B & B Liqueur Dom;4368;4401;3544.26;33
28252;Steele Pacini Mendocno Znfdl;22;29;85.81;30
23129;Sensi 18K Prosecco;3352;3620;21810.68;49
2796;Teeling Single Malt Whiskey;131;180;-779.51;-9
10579;High Note Malbec Mendoza;5485;6397;17367.21;41
5444;E & J Superior RSV VSOP;8195;8210;44855.15;38
